Date : 2024-03-12 12:57:46
Directory : /Users/thet3o/Projects/justitis_app
Total : 69 files,  2923 codes, 239 comments, 388 blanks, all 3550 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         16 |      1,283 |         39 |        108 |      1,430 |
| C++        |         16 |        548 |        121 |        182 |        851 |
| XML        |         10 |        463 |         48 |         12 |        523 |
| JSON       |          6 |        255 |          0 |          6 |        261 |
| Groovy     |          3 |         94 |          5 |         22 |        121 |
| YAML       |          3 |         73 |          0 |         11 |         84 |
| HTML       |          2 |         70 |         17 |          7 |         94 |
| Swift      |          6 |         68 |          7 |         20 |         95 |
| CMake      |          2 |         41 |          0 |         12 |         53 |
| JavaScript |          1 |         15 |          2 |          2 |         19 |
| Properties |          2 |          8 |          0 |          2 |         10 |
| Markdown   |          2 |          5 |          0 |          4 |          9 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                              | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                 |         69 |      2,923 |        239 |        388 |      3,550 |
| . (Files)                                                                                         |          5 |         39 |          0 |         11 |         50 |
| .github                                                                                           |          1 |         43 |          0 |          4 |         47 |
| .github/workflows                                                                                 |          1 |         43 |          0 |          4 |         47 |
| android                                                                                           |         12 |        161 |         51 |         33 |        245 |
| android (Files)                                                                                   |          3 |         46 |          0 |         11 |         57 |
| android/app                                                                                       |          8 |        110 |         51 |         21 |        182 |
| android/app (Files)                                                                               |          1 |         51 |          5 |         12 |         68 |
| android/app/src                                                                                   |          7 |         59 |         46 |          9 |        114 |
| android/app/src/debug                                                                             |          1 |          3 |          4 |          1 |          8 |
| android/app/src/main                                                                              |          5 |         53 |         38 |          7 |         98 |
| android/app/src/main (Files)                                                                      |          1 |         27 |          6 |          1 |         34 |
| android/app/src/main/res                                                                          |          4 |         26 |         32 |          6 |         64 |
| android/app/src/main/res/drawable                                                                 |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/drawable-v21                                                             |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/values                                                                   |          1 |          9 |          9 |          1 |         19 |
| android/app/src/main/res/values-night                                                             |          1 |          9 |          9 |          1 |         19 |
| android/app/src/profile                                                                           |          1 |          3 |          4 |          1 |          8 |
| android/gradle                                                                                    |          1 |          5 |          0 |          1 |          6 |
| android/gradle/wrapper                                                                            |          1 |          5 |          0 |          1 |          6 |
| ios                                                                                               |          8 |        229 |          4 |         13 |        246 |
| ios/Runner                                                                                        |          7 |        222 |          2 |          9 |        233 |
| ios/Runner (Files)                                                                                |          2 |         13 |          0 |          3 |         16 |
| ios/Runner/Assets.xcassets                                                                        |          3 |        148 |          0 |          4 |        152 |
| ios/Runner/Assets.xcassets/AppIcon.appiconset                                                     |          1 |        122 |          0 |          1 |        123 |
| ios/Runner/Assets.xcassets/LaunchImage.imageset                                                   |          2 |         26 |          0 |          3 |         29 |
| ios/Runner/Base.lproj                                                                             |          2 |         61 |          2 |          2 |         65 |
| ios/RunnerTests                                                                                   |          1 |          7 |          2 |          4 |         13 |
| lib                                                                                               |         16 |      1,283 |         39 |        108 |      1,430 |
| lib (Files)                                                                                       |          3 |        163 |         12 |         21 |        196 |
| lib/providers                                                                                     |          3 |        297 |         13 |         41 |        351 |
| lib/services                                                                                      |          2 |         58 |          7 |         11 |         76 |
| lib/views                                                                                         |          8 |        765 |          7 |         35 |        807 |
| lib/views (Files)                                                                                 |          4 |        427 |          4 |         17 |        448 |
| lib/views/menu                                                                                    |          4 |        338 |          3 |         18 |        359 |
| linux                                                                                             |          6 |        122 |         27 |         44 |        193 |
| linux (Files)                                                                                     |          3 |         86 |         18 |         27 |        131 |
| linux/flutter                                                                                     |          3 |         36 |          9 |         17 |         62 |
| macos                                                                                             |          6 |        460 |          5 |         16 |        481 |
| macos/Flutter                                                                                     |          1 |         22 |          3 |          4 |         29 |
| macos/Runner                                                                                      |          4 |        431 |          0 |          8 |        439 |
| macos/Runner (Files)                                                                              |          2 |         20 |          0 |          6 |         26 |
| macos/Runner/Assets.xcassets                                                                      |          1 |         68 |          0 |          1 |         69 |
| macos/Runner/Assets.xcassets/AppIcon.appiconset                                                   |          1 |         68 |          0 |          1 |         69 |
| macos/Runner/Base.lproj                                                                           |          1 |        343 |          0 |          1 |        344 |
| macos/RunnerTests                                                                                 |          1 |          7 |          2 |          4 |         13 |
| web                                                                                               |          4 |        120 |         19 |         10 |        149 |
| windows                                                                                           |         11 |        466 |         94 |        149 |        709 |
| windows/flutter                                                                                   |          3 |         38 |          9 |         17 |         64 |
| windows/runner                                                                                    |          8 |        428 |         85 |        132 |        645 |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                          | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/thet3o/Projects/justitis_app/.github/workflows/cloudflare-deploy.yml                       | YAML       |         43 |          0 |          4 |         47 |
| /Users/thet3o/Projects/justitis_app/README.md                                                     | Markdown   |          2 |          0 |          2 |          4 |
| /Users/thet3o/Projects/justitis_app/analysis_options.yaml                                         | YAML       |          1 |          0 |          1 |          2 |
| /Users/thet3o/Projects/justitis_app/android/app/build.gradle                                      | Groovy     |         51 |          5 |         12 |         68 |
| /Users/thet3o/Projects/justitis_app/android/app/src/debug/AndroidManifest.xml                     | XML        |          3 |          4 |          1 |          8 |
| /Users/thet3o/Projects/justitis_app/android/app/src/main/AndroidManifest.xml                      | XML        |         27 |          6 |          1 |         34 |
| /Users/thet3o/Projects/justitis_app/android/app/src/main/res/drawable-v21/launch_background.xml   | XML        |          4 |          7 |          2 |         13 |
| /Users/thet3o/Projects/justitis_app/android/app/src/main/res/drawable/launch_background.xml       | XML        |          4 |          7 |          2 |         13 |
| /Users/thet3o/Projects/justitis_app/android/app/src/main/res/values-night/styles.xml              | XML        |          9 |          9 |          1 |         19 |
| /Users/thet3o/Projects/justitis_app/android/app/src/main/res/values/styles.xml                    | XML        |          9 |          9 |          1 |         19 |
| /Users/thet3o/Projects/justitis_app/android/app/src/profile/AndroidManifest.xml                   | XML        |          3 |          4 |          1 |          8 |
| /Users/thet3o/Projects/justitis_app/android/build.gradle                                          | Groovy     |         27 |          0 |          5 |         32 |
| /Users/thet3o/Projects/justitis_app/android/gradle.properties                                     | Properties |          3 |          0 |          1 |          4 |
| /Users/thet3o/Projects/justitis_app/android/gradle/wrapper/gradle-wrapper.properties              | Properties |          5 |          0 |          1 |          6 |
| /Users/thet3o/Projects/justitis_app/android/settings.gradle                                       | Groovy     |         16 |          0 |          5 |         21 |
| /Users/thet3o/Projects/justitis_app/ios/Runner/AppDelegate.swift                                  | Swift      |         12 |          0 |          2 |         14 |
| /Users/thet3o/Projects/justitis_app/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json   | JSON       |        122 |          0 |          1 |        123 |
| /Users/thet3o/Projects/justitis_app/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json | JSON       |         23 |          0 |          1 |         24 |
| /Users/thet3o/Projects/justitis_app/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md     | Markdown   |          3 |          0 |          2 |          5 |
| /Users/thet3o/Projects/justitis_app/ios/Runner/Base.lproj/LaunchScreen.storyboard                 | XML        |         36 |          1 |          1 |         38 |
| /Users/thet3o/Projects/justitis_app/ios/Runner/Base.lproj/Main.storyboard                         | XML        |         25 |          1 |          1 |         27 |
| /Users/thet3o/Projects/justitis_app/ios/Runner/Runner-Bridging-Header.h                           | C++        |          1 |          0 |          1 |          2 |
| /Users/thet3o/Projects/justitis_app/ios/RunnerTests/RunnerTests.swift                             | Swift      |          7 |          2 |          4 |         13 |
| /Users/thet3o/Projects/justitis_app/lib/firebase_options.dart                                     | Dart       |         50 |         12 |          3 |         65 |
| /Users/thet3o/Projects/justitis_app/lib/main.dart                                                 | Dart       |         37 |          0 |          5 |         42 |
| /Users/thet3o/Projects/justitis_app/lib/models.dart                                               | Dart       |         76 |          0 |         13 |         89 |
| /Users/thet3o/Projects/justitis_app/lib/providers/auth_provider.dart                              | Dart       |        106 |          4 |         17 |        127 |
| /Users/thet3o/Projects/justitis_app/lib/providers/menu_provider.dart                              | Dart       |        128 |          3 |         19 |        150 |
